Charge_in_mAh,Current,Voltage,Temperature
1.2148,0,5.0664,22.6944
1.2148,-0.0005,5.115,22.6944
1.2148,0.0012,5.1172,22.6944
1.2148,0.337,5.0617,22.6944
1.2148,0.4583,5.0344,22.6944
1.2148,0.4583,5.034,22.6944
1.2148,0.4583,5.0337,22.6944
1.2148,0.4583,5.0333,22.6944
1.2148,0.4583,5.0337,22.6944
1.2148,0.4583,5.0337,22.6944
1.2148,0.4583,5.0337,22.6944
1.2148,0.4583,5.0337,22.6944
1.2148,0.4583,5.034,22.6944
1.2148,0.4583,5.034,22.6944
1.2148,0.4887,5.034,22.6944
2.4453,0.5491,5.0095,22.6944
2.4453,0.5491,5.0092,22.6944
2.4453,0.5491,5.0092,22.6944
2.4453,0.5491,5.0095,22.6944
2.4453,0.5491,5.0095,22.6944
2.4453,0.5491,5.0095,22.6944
2.4453,0.5491,5.0099,22.6944
2.4453,0.5491,5.0099,22.6944
2.4453,0.5491,5.0103,22.6944
2.4453,0.5491,5.0099,22.6944
2.4453,0.5491,5.0103,22.6944
3.6719,0.5491,5.0099,22.6944
3.6719,0.5491,5.0103,22.6944
3.6719,0.5491,5.0117,22.6944
3.6719,0.5491,5.0106,22.6944
3.6719,0.5491,5.0106,22.9434
3.6719,0.5491,5.0106,22.9434
3.6719,0.5491,5.0106,22.9434
3.6719,0.5491,5.0106,22.9434
3.6719,0.5491,5.0106,22.9434
3.6719,0.5491,5.0106,22.9434
3.6719,0.5491,5.011,22.9434
4.8906,0.5491,5.011,22.9434
4.8906,0.5491,5.011,22.9434
4.8906,0.5491,5.011,22.9434
4.8906,0.5491,5.011,22.9434
4.8906,0.5491,5.0113,22.9434
4.8906,0.5491,5.011,22.9434
4.8906,0.5309,5.0142,22.9434
4.8906,0.5491,5.0113,22.9434
4.8906,0.5491,5.0171,22.9434
4.8906,0.511,5.0182,22.9434
6.1211,0.5491,5.0113,22.9434
6.1211,0.5409,5.0113,22.9434
6.1211,0.5432,5.0139,22.9434
6.1211,0.5491,5.0113,22.9434
6.1211,0.5491,5.0117,22.9434
6.1211,0.5016,5.016,22.9434
6.1211,0.5491,5.0117,22.9434
6.1211,0.5491,5.0117,22.9434
6.1211,0.5491,5.0117,22.9434
6.1211,0.5491,5.0117,22.9434
6.1211,0.5491,5.0117,22.9434
7.3437,0.5491,5.0117,22.9434
7.3437,0.5491,5.0113,22.9434
7.3437,0.5491,5.0113,22.9434
7.3437,0.5491,5.0113,22.9434
7.3437,0.5045,5.0203,22.9434
7.3437,0.5491,5.0113,22.9434
7.3437,0.5491,5.0117,22.9434
7.3437,0.4969,5.0225,23.1924
7.3437,0.5491,5.0117,23.1924
7.3437,0.5491,5.0117,23.1924
7.3437,0.4905,5.0239,23.1924
8.5625,0.5426,5.0149,23.1924
8.5625,0.5467,5.0149,23.1924
8.5625,0.4917,5.0236,23.1924
8.5625,0.5327,5.016,23.1924
8.5625,0.5491,5.0146,23.1924
8.5625,0.4887,5.0261,23.1924
8.5625,0.5315,5.0146,23.1924
8.5625,0.5485,5.0121,23.1924
8.5625,0.4934,5.0257,23.1924
8.5625,0.5491,5.0113,23.1924
8.5625,0.5473,5.0128,23.1924
9.7891,0.4922,5.0261,23.1924
9.7891,0.5491,5.0121,23.1924
9.7891,0.5491,5.0117,23.1924
9.7891,0.5344,5.02,23.1924
9.7891,0.5415,5.0135,23.1924
9.7891,0.5485,5.0121,23.1924
9.7891,0.5491,5.0117,23.1924
9.7891,0.5491,5.0135,23.1924
9.7891,0.5432,5.0131,23.1924
9.7891,0.5491,5.0117,23.1924
9.7891,0.5491,5.0121,23.1924
11.0156,0.5491,5.0117,23.1924
11.0156,0.0006,5.1183,23.1924
11.0156,0.5485,5.0117,23.1924
11.0156,0.5491,5.0117,23.1924
11.0156,0.5491,5.0117,23.1924
11.0156,0.5491,5.011,23.1924
11.0156,0.5491,5.0113,23.1924
11.0156,0.5491,5.011,23.1924
11.0156,0.5491,5.0113,23.1924
11.0156,0.5485,5.011,23.1924
11.0156,0.5491,5.011,23.1924
11.0156,0.5491,5.0113,23.1924
12.2383,0.5485,5.0113,23.1924
12.2383,0.5491,5.0113,23.1924
12.2383,0.5485,5.0113,23.1924
12.2383,0.5491,5.0113,23.1924
12.2383,0.5491,5.0113,23.1924
12.2383,0.6194,4.9991,23.1924
12.2383,0.6294,4.9908,23.1924
12.2383,0.6504,4.9901,23.4414
12.2383,0.6399,4.9904,23.4414
12.2383,0.6528,4.9879,23.4414
13.4609,0.654,4.9876,23.4414
13.4609,0.654,4.9868,23.4414
13.4609,0.6587,4.9858,23.4414
13.4609,0.661,4.985,23.4414
13.4609,0.6592,4.9854,23.4414
13.4609,0.6581,4.9854,23.4414
13.4609,0.661,4.9854,23.4414
13.4609,0.6633,4.9843,23.4414
14.6875,0.6628,4.9847,23.4414
14.6875,0.6645,4.9843,23.4414
14.6875,0.6657,4.9843,23.4414
14.6875,0.6651,4.9847,23.4414
14.6875,0.6645,4.9843,23.4414
14.6875,0.6674,4.9843,23.4414
14.6875,0.6669,4.9847,23.4414
14.6875,0.6692,4.984,23.4414
